id;id_tech;domaine;id_demande;badge;date_demande;statut;flux;flux_content_type
1;47305;navigating executive Sleek Fresh Mouse;deposit;District responsive bifurcated;2020-03-24T19:07:38;TERMINE;../fake-data/blob/hipster.png;image/png
2;10041;Savings Account;Wooden object-oriented Toys;withdrawal Panama;2020-03-25T00:31:25;A_FINALISER;../fake-data/blob/hipster.png;image/png
3;24348;GB;array Sleek Concrete Bacon repurpose;firewall;2020-03-24T15:27:41;A_FINALISER;../fake-data/blob/hipster.png;image/png
4;42500;synergistic;Senior Tokelau;card;2020-03-24T20:57:17;TERMINE;../fake-data/blob/hipster.png;image/png
5;9070;Inlet sticky;Investment Account Officer;Saint Barthelemy overriding;2020-03-25T02:13:38;BROUILLON;../fake-data/blob/hipster.png;image/png
6;50108;Gorgeous;cross-platform models;deposit Functionality Supervisor;2020-03-24T20:27:40;A_FINALISER;../fake-data/blob/hipster.png;image/png
7;17983;Shoals bleeding-edge;Avon lavender;Strategist Buckinghamshire;2020-03-25T04:09:08;BROUILLON;../fake-data/blob/hipster.png;image/png
8;63854;Director payment Sausages;groupware;invoice Electronics Incredible;2020-03-24T22:02:09;BROUILLON;../fake-data/blob/hipster.png;image/png
9;36533;Wooden deposit multimedia;connect logistical;Lock tertiary California;2020-03-24T20:41:01;BROUILLON;../fake-data/blob/hipster.png;image/png
10;64740;Rustic Home;hardware Quality-focused;Cloned Vista Avon;2020-03-25T09:12:04;TERMINE;../fake-data/blob/hipster.png;image/png
